▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 15, DeviceName = Panasonic->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = Unusable device, eventTime = 15, DeviceName = PS4->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 15, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 15, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 15, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 15, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 15, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 15, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = Unusable device, eventTime = 16, DeviceName = Panasonic->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = Unusable device, eventTime = 16, DeviceName = PS4->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = Unusable device, eventTime = 16, DeviceName = Panasonic->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = fridge1->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = fridge1->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = Panasonic->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 16, DeviceName = Panasonic->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = Unusable device, eventTime = 17, DeviceName = fridge1->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 17, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 17, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 17, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = Unusable device, eventTime = 17, DeviceName = PS4->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 17, DeviceName = fridge1->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 17, DeviceName = Bosch->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = Unusable device, eventTime = 17, DeviceName = PS4->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 17, DeviceName = fridge1->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 17, DeviceName = fridge1->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = fridge1->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = fridge1->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = Unusable device, eventTime = 18, DeviceName = fridge1->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = Unusable device, eventTime = 18, DeviceName = PS4->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = Unusable device, eventTime = 18, DeviceName = fridge1->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = Bosch->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = fridge1->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 18, DeviceName = fridge1->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 19, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 19, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 19, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 19, DeviceName = fridge1->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = Unusable device, eventTime = 19, DeviceName = Panasonic->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = Unusable device, eventTime = 19, DeviceName = fridge1->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 19, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 19, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 19, DeviceName = fridge1->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 19, DeviceName = fridge1->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 20, DeviceName = Panasonic->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = Unusable device, eventTime = 20, DeviceName = PS4->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = Unusable device, eventTime = 20, DeviceName = fridge1->DEVICE_UNUSABLE, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 20, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 20, DeviceName = fridge1->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 20, DeviceName = fridge1->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 20, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 20, DeviceName = PS4->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 20, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 20, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = Unusable device, eventTime = 20, DeviceName = Panasonic->DEVICE_UNUSABLE, isNeedsEvent = false
